sample_id,sentence,dict_label,ensemble_majority
S0007,建设转型综改先行区，立足国家资源型经济转型综改试验区建设，以示范区晋中开发区为龙头牵引开发区改革创新发展，以一流创新生态建设培育壮大核心竞争力,visible,irrelevant
S0240,搞好粉煤灰、煤矸石、矿井水等工业废弃物综合利用和医疗垃圾无害化处理，实施生活垃圾资源化利用,irrelevant,functional
S0148,开展城市更新行动，推进市区道路线缆、线杆整治和亮化提升，改造供热老旧管网12公里,mixed,mixed
S0090,组织市区周边“找隐患、补短板、破难题”专项排查，针对影响美丽丽水形象的20个问题，推动建立长效管理机制,visible,visible
S0316,加快全省新型智能城市示范市建设，推动城市状态“一网感知”，建设用电、用水、可燃气体、烟雾传感等物联感知设备,mixed,functional
S0149,健全地质灾害防治体系，做好应急、防震减灾、气象、测绘等工作，提升公共安全和防灾救灾减灾能力,functional,functional
S0246,投资1.35亿元，实施创卫项目22类367个,irrelevant,irrelevant
S0005,深入推进“互联网+流通”行动，科学布局京津冀一体化实体商超、社区和农村便利店相结合的OTO模式，打造一批精品示范店，支持颈复康、山庄集团等企业建立自主电商平台，全市电子商务交易额增长24%以上，农产品上行规模增长25%以上,visible,irrelevant
S0104,全流程电子招投标比率95.1%，药都网上商城完成交易1.7亿元,irrelevant,irrelevant
S0390,抓好港城建设，提升改造东港旧城区治理等城市更新项目，加快推进三湾水库东港输水管网、环城燃气管网、东港体育场、智慧交通等项目，进一步优化城区功能布局，促进港城能级跃升,functional,mixed
S0085,西城大道提升整治工程、创业大厦和世纪立交节点城市设计、防洪排涝及景观水系工程等重点项目基本完成,mixed,mixed
S0018,加强应急处突能力建设，推进公共安全视频监控“雪亮工程”,functional,tie
S0405,严控违法建设，整治脏乱差，确保市容整洁有序,visible,visible
S0356,持续改进文风会风，切实为基层减负,irrelevant,irrelevant
S0001,加快教育现代化，推进学前教育普及普惠发展、义务教育优质均衡发展、高中教育特色多样发展、职业教育融合发展,irrelevant,irrelevant
S0418,"继续搞好农村通自来水工程,新增10万农村人口用上自来水,自来水通水率达到90%以上",functional,functional
S0337,扩大名牌产品市场规模，提高名牌产品的贡献率,irrelevant,irrelevant
S0429,适应经济社会发展需要，建立健全各种应急机制，提高政府保障公共安全、应对和处置突发事件的能力,functional,irrelevant
S0173,统筹城区地上地下设施建设，2012年以来全市新增供热面积1186万平方米，新建改造城区道路196条，整治背街小巷200多条，居民住行更加舒适,functional,mixed
S0133,做好金山热电二期工程前期工作，让集中供热惠及更多市民,functional,functional
S0084,扎实推进“百村美丽、千村整治”工程和“美丽乡村”建设，深入实施农村人居环境整治五年行动计划，加快推动“空心房”综合治理，持续推进农村生活垃圾分类、厕所革命，加快乡镇污水处理厂建设，加强农村水、电、气、通信和物流等基础配套，实施山塘清淤1200口,mixed,mixed
S0493,深入推进全国文明城市、国家卫生城市和国家食品安全示范城市“三城”同创,visible,irrelevant
