current_class,term,sample_matches,est_total,est_share_pct,example_1,example_2,decision (keep / ->functional / ->visible / drop / context-gate),notes,deepseek_decision,deepseek_reason,deepseek_gate
functional,污水,5236,52360,1.77,2024-2025 年画溪街道工业园区污水管改造项目[A3305220690008321001001],浙江华元工程咨询有限公司关于嵊泗县洋山镇人民政府洋山镇渔业后勤保障基地新建工程污水处理设备项目的公开招标公告,,,keep,几乎总是指污水管道工程，属于隐蔽地下工程，误报少，可靠,
functional,管网,2825,28250,0.955,兰溪市灵洞乡烟溪村道路及管网工程,浙江省南湖监狱狱部供水管网提升工程（重新采购）合同,,,keep,指代各种地下管网，是典型的民生隐蔽类工程，误报风险极低,
functional,供水,1264,12640,0.427,衢江区农民饮用水工程运行维修养护-农村供水工程规范化管理技术服务(2024年)采购项目合同,上佛路（车站路-稠义路）供水专管工程[YW202406130070000],,,keep,供水管道或设施工程，属于市民生活隐蔽保障系统，类别明确,
functional,排水,1192,11920,0.403,镜水路（钱滨线-329国道）快速化改造工程（北段）排水管道迁建工程,温州（鹿城）轻工产业园区一期市政工程纵五路（中央大道-环山北路）排水管道修复工程（重）,,,keep,排水管道或排水设施工程，地下隐蔽，与面子工程无关,
functional,雨污,864,8640,0.292,沥海镇北门外沥建老住宅区雨污分流改造工程中标候选人公示,临平街道背街小巷重点整治区块“污水零直排”雨污废水改造项目-名门天第园北区,,,keep,特指雨污分流改造，属于管道隐蔽工程，几乎无歧义,
functional,泵站,732,7320,0.247,甬江防洪工程东江、剡江奉化段堤防整治（二期）东江高楼张上游一期堤防及山隍泵站工程（监理）中标公示,宁波市海曙区政府采购中心关于海曙区堤防管理所水闸、泵站自动化设备采购项目的公开招标公告,,,keep,伴随排水、防洪等工程出现，是隐蔽民生设施,
functional,排涝,622,6220,0.21,浙江方圆工程咨询有限公司关于市本级泵（闸）站及丽排涝工程运行管理维护中标(成交)结果公告,基湖片区水系（防洪排涝）综合整治一期工程中标结果公告,,,keep,排涝工程属于排水防涝的隐蔽类民生项目，很少误报,
functional,防洪,506,5060,0.171,基湖片区水系（防洪排涝）综合整治一期工程中标结果公告,甬江防洪工程东江、剡江奉化段堤防整治（二期）东江高楼张上游一期堤防及山隍泵站工程（监理）中标公示,,,keep,防洪排涝等水利隐蔽工程，与面子景观差别明显,
functional,管线,482,4820,0.163,青田县东堡山华侨文化旅游项目配套市政道路及管线工程一期二标段[A3311011160015007001001],杭州市闲林水厂出厂给水管线工程（南线）监理,,,keep,综合管线或市政管线，几乎都为地下隐蔽工程,
functional,自来水,296,2960,0.1,浙江兴业建设项目管理有限公司关于台州自来水有限公司NB-IOT DN15及DN25远传水表采购项目的公开招标公告,新合乡引坑村自来水污水管网及三星堂区块路面改造提升工程,,,keep,自来水管道或水表采购，指向供水隐蔽系统,
functional,防汛,270,2700,0.091,庆元县基层防汛防台体系提能升级示范建设项目合同,浙江鼎晟工程项目管理有限公司关于兰溪市东风水库、城头水库防汛监测系统提升建设项目的公开招标公告,,,keep,防汛防台体系与能力建设，典型的民生隐蔽工程,
functional,管廊,247,2470,0.084,义乌市商城大道（春风大道-阳光大道）立交化改造工程—管廊弱电工程[YW202406130030000],通途路（世纪大道-东外环）综合管廊工程建设运营管理信息化系统项目公示,,,keep,地下综合管廊，是面向未来的隐蔽基础设施，与面子反对鲜明,
functional,雨水,228,2280,0.077,桐乡市水源地保护桥梁雨水收集工程（第二次）,合村乡合村村农居点室外雨水管网工程招标公告,,,keep,雨水收集或排水工程，属于排水系统的一部分，隐蔽,
functional,排污,226,2260,0.076,2024年供水排污水质检测政府采购项目合同,排污权（CQ2019088）产权交易项目(排污权化学需氧量0.5吨/年及氨氮0.05吨/年),,,keep,排污管道或污水排放，隐蔽地下，错误归类风险低,
