sample_id,city,year,stratum,sentence,dict_visible_hits,dict_functional_hits,dict_label,coder1 (visible | functional | mixed | irrelevant),coder2 (visible | functional | mixed | irrelevant),adjudicated,notes
S0001,石嘴山市,2021,none:late,加快教育现代化，推进学前教育普及普惠发展、义务教育优质均衡发展、高中教育特色多样发展、职业教育融合发展,0,0,irrelevant,,,,
S0002,广安市,2006,visible:early,"抓好退耕还林、天然林保护和林业产业开发,绿化城乡山川,建设秀美广安",1,0,visible,,,,
S0003,武汉市,2006,visible:early,城市环境面貌明显改善,1,0,visible,,,,
S0004,阳江市,2024,mixed:late,美丽圩镇、美丽乡村加快建设，完成农房风貌品质提升和微改造超2万户，整治农村黑臭水体6条、农村生活污水治理率超72%，建成8条乡村振兴示范带、其中“牧海耕田”示范带获省1亿元奖励，531个行政村达到美丽宜居村标准，江城那蓬村、阳春石上村、阳西渡头村入选全国乡村治理示范村,7,1,mixed,,,,
S0005,承德市,2019,visible:late,深入推进“互联网+流通”行动，科学布局京津冀一体化实体商超、社区和农村便利店相结合的OTO模式，打造一批精品示范店，支持颈复康、山庄集团等企业建立自主电商平台，全市电子商务交易额增长24%以上，农产品上行规模增长25%以上,1,0,visible,,,,
S0006,乌鲁木齐市,2016,mixed:late,坚持城乡统筹发展，积极推进美丽宜居乡村建设，继续完善农牧区供排水、农田水利等基础设施，建设安居富民住房1万户、农村公路95公里，不断改善农村面貌和农牧民生产生活条件,2,1,mixed,,,,
S0007,晋中市,2021,visible:late,建设转型综改先行区，立足国家资源型经济转型综改试验区建设，以示范区晋中开发区为龙头牵引开发区改革创新发展，以一流创新生态建设培育壮大核心竞争力,1,0,visible,,,,
S0008,郴州市,2013,functional:late,在此，我代表市人民政府向全市各族人民，向人大代表、政协委员，向各民主党派、工商联、无党派人士和人民团体，向驻郴解放军、武警和消防官兵，向中省驻郴单位，向离退休老同志，向所有关心支持郴州发展的各界朋友，表示衷心的感谢并致以崇高的敬意,0,1,functional,,,,
S0009,铜陵市,2013,mixed:late,美好乡村启动建设，完成166个自然村危房改造和村庄整治，成功申报国家现代农业示范区,1,1,mixed,,,,
S0010,巴中市,2023,visible:late,高效利用城市角落，打造中心城区“微景观”“口袋公园”10处,1,0,visible,,,,
S0011,钦州市,2010,functional:early,加强城乡防灾减灾能力建设，合理规划建设应急避难场所,0,3,functional,,,,
S0012,玉溪市,2014,none:late,在招商引资工作上求创新，召开招商引资大会，出台加强招商引资工作的实施意见和考核奖惩办法，成立13个产业招商总局，分解落实目标任务，使用市外国内资金407.2亿元、增长182%，利用外资6742万美元、增长46%，招商引资总额全省第五、增幅第一,0,0,irrelevant,,,,
S0013,玉林市,2012,none:early,续建重大项目380个，年度计划投资240亿元，抓好福绵国际服装贸易城等项目建设,0,0,irrelevant,,,,
S0014,青岛市,2016,functional:late,市区新增集中供热面积400万平方米,0,1,functional,,,,
S0015,芜湖市,2022,none:late,城市综合信用指数居全国261个地级市第四位,0,0,irrelevant,,,,
S0016,日照市,2011,functional:early,组织实施了市区集中供热改造提升工程，克服工期短、工程量大、地质复杂、环境制约等种种难以想象的困难，圆满实现了预定目标，创下了全国城市集中供热改造一次性施工里程最长、管径最大的纪录，从根本上改变了供热状况，并为今后预留了富余空间，取得了打基础、利长远、节能减排、提高热效、扩大面积、改善空气质量、优化投资环境等多方面的综合效应,0,3,functional,,,,
S0017,唐山市,2019,mixed:late,深入落实习近平总书记“两个坚持、三个转变”防灾减灾救灾重要指示精神，加快中国·唐山防震减灾示范中心建设，打造国内一流、国际知名的防震减灾示范市,2,1,mixed,,,,
S0018,龙岩市,2019,functional:late,加强应急处突能力建设，推进公共安全视频监控“雪亮工程”,0,1,functional,,,,
S0019,广州市,2011,none:early,努力建设学习型政府，全面提升政府工作人员综合素质和服务水平,0,0,irrelevant,,,,
S0020,辽阳市,2010,functional:early,弓长岭区实现集中供热,0,1,functional,,,,
S0021,潮州市,2014,visible:late,建设特色经济示范区,1,0,visible,,,,
S0022,武汉市,2016,none:late,永旺经开梦乐城、宜家荟聚购物中心等重大服务业项目开业,0,0,irrelevant,,,,
