sample_id,city,year,stratum,sentence,dict_visible_hits,dict_functional_hits,dict_label,coder1 (visible | functional | mixed | irrelevant),coder2 (visible | functional | mixed | irrelevant),adjudicated,notes,gemini,chatgpt,deepseek,ensemble_majority,n_agree
S0001,清远市,2008,none:early,规模工业企业亏损面由上年的45%下降到39%，实现利润总额21.5亿元，增长57%,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0002,广州市,2010,visible:early,继续推动实施“青山绿地”、“蓝天碧水”二期工程，城市公园、森林公园和自然保护区的建设保护进一步加强,3,0,visible,,,,,visible,visible,visible,visible,3
S0003,济南市,2005,visible:early,以保护基本农田、加强土地用途管制、推进市场化供地为重点，深入整顿土地市场秩序，依法查处各类土地违法案件，集中处理土地历史遗留问题，全面加强土地市场建设和保护土地资源各项措施，基本解决了土地市场存在的突出矛盾和问题，推动管地用地秩序纳入依法规范的轨道，市、县政府当年实现土地纯收益超过前5年总和,1,0,visible,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0004,永州市,2010,functional:early,7个污水处理厂和市医疗废物处置中心建成投运,0,1,functional,,,,,functional,functional,functional,functional,3
S0005,南充市,2006,visible:early,创建为中国优秀旅游城市和国家园林城市、卫生城市、环保模范城市，使南充成为有特色、有品位、有文化、有影响力的现代城市,1,0,visible,,,,,visible,visible,visible,visible,3
S0006,孝感市,2005,none:early,答：石选择图片工具，点减63.问：插入的图片为什么是处于页面的联膜，想下来成其他地方，又门动到球蝴去，说是不下米，请列该如何处理答：我变国片的性，可以了，64.阿：如何保证一隔体定在来一我的后面，另一的前面,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0007,本溪市,2016,none:late,按省统一部署完成公务用车制度改革,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0008,九江市,2004,mixed:early,加大人畜饮水、乡村道路、农村沼气、农村水电的投入力度，完成９３９公里的县乡道路新建改造，实施３１６国道改造工程，全面完成“平垸行洪、退田还湖、退耕还林、移民建镇”巩固工程，抓好日元贷款防洪工程实施，完成年度病险水库除险加固工程，推进农业综合开发水利骨干工程建设，加快修河、潦河、博阳河、长河及鄱阳湖重点河段的整治和疏浚,2,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0009,丽水市,2021,visible:late,支持松阳打造国家传统村落公园,1,0,visible,,,,,visible,visible,visible,visible,3
S0010,银川市,2020,visible:late,积极推动国家生态园林城市创建,1,0,visible,,,,,visible,visible,visible,visible,3
S0011,四平市,2018,functional:late,新建续建地下综合管廊20.4公里，吉林省地下综合管廊产业联盟落户四平,0,2,functional,,,,,functional,functional,functional,functional,3
S0012,威海市,2003,none:early,广泛开展全民健身活动，提高竞技体育水平,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0013,双鸭山市,2018,functional:late,完成了主城区34.1公里老旧供热管网改造,0,1,functional,,,,,functional,functional,functional,functional,3
S0014,齐齐哈尔市,2019,functional:late,深入实施工业污染源专项治理，清理整顿“散乱污”企业，探索排污许可管理,0,1,functional,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0015,吕梁市,2016,visible:late,继续推进龙山、凤山、虎山三山绿化延伸，加快凤山公园提升改造等重点工程建设步伐，启动上山车道步道、公园绿地、休闲广场等项目前期规划设计,5,0,visible,,,,,visible,visible,mixed,visible,2
