term,n_hits_ensemble,fp_rate_ensemble,ens_visible,ens_mixed,ens_functional,ens_irrelevant,n_hits_human,fp_rate_human,hum_visible,hum_mixed,hum_functional,hum_irrelevant,verdict,note
装饰,1,1.0,0,0,0,1,0,,0,0,0,0,REVIEW,Ensemble FP=1.00 over 1 hits; marginal — needs context constraint.
展示,7,0.857,0,1,0,6,1,1.0,0,0,0,1,DROP,Ensemble FP=0.86 over 7 hits — over fires on non-infrastructure.
示范,87,0.724,8,10,6,63,30,0.433,1,11,5,13,DROP,Ensemble FP=0.72 over 87 hits — over fires on non-infrastructure.
文明城市,11,0.636,1,2,1,7,4,0.75,0,0,1,3,DROP,Ensemble FP=0.64 over 11 hits — over fires on non-infrastructure.
样板,4,0.5,1,1,0,2,2,0.0,0,1,1,0,REVIEW,Ensemble FP=0.50 over 4 hits; marginal — needs context constraint.
整洁,2,0.5,1,0,0,1,1,0.0,0,1,0,0,REVIEW,Ensemble FP=0.50 over 2 hits; marginal — needs context constraint.
门户,2,0.5,1,0,0,1,0,,0,0,0,0,REVIEW,Ensemble FP=0.50 over 2 hits; marginal — needs context constraint.
美丽,11,0.364,1,6,0,4,7,0.143,1,5,0,1,REVIEW,Ensemble FP=0.36 over 11 hits; marginal — needs context constraint.
形象,10,0.3,5,2,0,3,3,0.0,1,2,0,0,REVIEW,Ensemble FP=0.30 over 10 hits; marginal — needs context constraint.
面貌,7,0.143,4,2,0,1,2,0.5,0,1,0,1,KEEP,Ensemble FP=0.14 over 7 hits — clean.
风貌,8,0.125,6,1,0,1,0,,0,0,0,0,KEEP,Ensemble FP=0.12 over 8 hits — clean.
绿化,26,0.038,16,9,0,1,5,0.4,0,2,1,2,KEEP,Ensemble FP=0.04 over 26 hits — clean.
景观,15,0.0,11,4,0,0,5,0.0,1,4,0,0,KEEP,Ensemble FP=0.00 over 15 hits — clean.
亮化,8,0.0,4,4,0,0,3,0.0,0,3,0,0,KEEP,Ensemble FP=0.00 over 8 hits — clean.
美化,6,0.0,4,2,0,0,1,0.0,0,1,0,0,KEEP,Ensemble FP=0.00 over 6 hits — clean.
园林城市,4,0.0,3,1,0,0,2,0.5,1,0,0,1,REVIEW_LOW_N,"Only 4 ensemble hits, 2 human hits — too few to judge."
立面,3,0.0,3,0,0,0,0,,0,0,0,0,REVIEW_LOW_N,"Only 3 ensemble hits, 0 human hits — too few to judge."
夜景,1,0.0,0,1,0,0,1,0.0,0,1,0,0,REVIEW_LOW_N,"Only 1 ensemble hits, 1 human hits — too few to judge."
彩化,1,0.0,1,0,0,0,0,,0,0,0,0,REVIEW_LOW_N,"Only 1 ensemble hits, 0 human hits — too few to judge."
雕塑,1,0.0,1,0,0,0,0,,0,0,0,0,REVIEW_LOW_N,"Only 1 ensemble hits, 0 human hits — too few to judge."
形象工程,1,0.0,1,0,0,0,0,,0,0,0,0,REVIEW_LOW_N,"Only 1 ensemble hits, 0 human hits — too few to judge."
天际线,1,0.0,1,0,0,0,0,,0,0,0,0,REVIEW_LOW_N,"Only 1 ensemble hits, 0 human hits — too few to judge."
外观,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
外墙,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
立面改造,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
粉刷,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
刷新,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
街景,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
灯光,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
景观带,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
花坛,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
花园城市,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
门面,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
窗口,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
城市名片,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
靓丽,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
漂亮,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
焕然一新,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
穿衣戴帽,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
观感,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
视觉,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
面子,0,,0,0,0,0,0,,0,0,0,0,NO_HITS_KEEP,No evidence in 500-row sample; keep until larger sample available.
